fecha,set,confianza_set,clima,familia,banda,acierto_exacto,acierto_direccional,tipo_acierto,tam_set,modo_operativo,nota,conf_ajustada,cajon_id,hit_rate_emp,ajuste_odc,rango_conf
17/11/2025,45 75 83 95 76,75.0,solar-medio,familia-solar,B,0.0,0,pendiente,5,no_apostar,solar-medio como clima nodo activo; set generado con R-RA y nodos completamente activos; confianza elevada por evidencia histórica de ruta en climas nodo; primer evento real de este cajón R-ODC,75.0,solar-medio|B|75-79,,0.0,75-79
18/11/2025,47 45 49 27 67,52.0,reinicio-volatil,familia-volatil,B,,0,0,5,observacion,t1 – baja probabilidad de exacto,,,,,
